round,time,size,score,b_value,separable_success,separable_success_rate
5,0.36232638835162095,43,0.8781993484303081,-1.3211687244540036,50/50,1.0
10,0.7246527767032419,48,0.5870865002575667,-1.1834267640226153,50/50,1.0
15,1.0869791650548628,43,0.243856074056644,-1.149132105290175,50/50,1.0
