round,time,size,score,b_value,separable_success,separable_success_rate
5,0.36232638835162095,43,0.8842446258216015,-1.2607380578255434,100/100,1.0
10,0.7246527767032419,48,0.5766997406803387,-1.180900749708452,100/100,1.0
15,1.0869791650548628,43,0.18834606406023213,-1.2065286181348405,100/100,1.0
