round,time,size,score,b_value,separable_success,separable_success_rate
5,0.36232638835162095,41,0.8833912071811054,-1.1880609434021634,30/30,1.0
10,0.7246527767032419,49,0.5779287153692985,-1.1866667638199988,30/30,1.0
15,1.0869791650548628,43,0.1757963638562705,-1.1679118083804216,30/30,1.0
