round,time,size,score,b_value,separable_success,separable_success_rate
5,0.36232638835162095,41,0.8851264262124408,-1.2890818134923532,50/50,1.0
10,0.7246527767032419,49,0.5874103991078472,-1.1779306147585022,50/50,1.0
15,1.0869791650548628,43,0.2688511978723369,-1.0788633557357363,50/50,1.0
