noise_type,round,max_noise,clean_score
bitflip,4,0.10918903350830078,0.991825154276037
white,4,0.4339408874511719,0.991825154276037
bitflip,8,0.08889293670654297,1.1884939495557956
white,8,0.5003089904785156,1.1884939495557956
bitflip,12,0.08925914764404297,1.0005743855449365
white,12,0.45247745513916016,1.0005743855449365
bitflip,16,0.1018514633178711,0.9911177780361722
white,16,0.4198637008666992,0.9911177780361722
bitflip,20,0.089202880859375,1.0752853864847791
white,20,0.47828102111816406,1.0752853864847791
bitflip,24,0.08385372161865234,1.1205066977390523
white,24,0.49358177185058594,1.1205066977390523
bitflip,28,0.06901359558105469,0.9247916946009809
white,28,0.4346132278442383,0.9247916946009809
bitflip,32,0.07309913635253906,1.0585429518858651
white,32,0.4652748107910156,1.0585429518858651
bitflip,36,0.08232975006103516,1.0797941836092522
white,36,0.4829740524291992,1.0797941836092522
bitflip,40,0.1232442855834961,1.13222155670837
white,40,0.4788799285888672,1.13222155670837
bitflip,44,0.10833168029785156,0.9250741770650075
white,44,0.3999967575073242,0.9250741770650075
bitflip,48,0.08715248107910156,1.068814534008747
white,48,0.4780740737915039,1.068814534008747
bitflip,52,0.09015655517578125,1.0913226576843242
white,52,0.48009681701660156,1.0913226576843242
bitflip,56,0.1707000732421875,1.0257471298925904
white,56,0.43215465545654297,1.0257471298925904
bitflip,60,0.1908283233642578,0.9528488693134092
white,60,0.4046487808227539,0.9528488693134092
bitflip,64,0.09252357482910156,1.050640360326394
white,64,0.46530628204345703,1.050640360326394
bitflip,68,0.0888681411743164,1.2073010806773368
white,68,0.5130519866943359,1.2073010806773368
bitflip,72,0.08246517181396484,0.9153295235508379
white,72,0.42610740661621094,0.9153295235508379
bitflip,76,0.1011505126953125,1.1940029077578038
white,76,0.48974132537841797,1.1940029077578038
bitflip,80,0.07922077178955078,1.005687716050164
white,80,0.46419811248779297,1.005687716050164
bitflip,84,0.08092117309570312,1.0323630502010381
white,84,0.4564666748046875,1.0323630502010381
bitflip,88,0.061339378356933594,0.7593242196560919
white,88,0.3803234100341797,0.7593242196560919
bitflip,92,0.08742618560791016,1.2270572210256525
white,92,0.5139675140380859,1.2270572210256525
bitflip,96,0.08785247802734375,1.043411230510019
white,96,0.4609060287475586,1.043411230510019
bitflip,100,0.16788959503173828,1.1253427585760518
white,100,0.4359264373779297,1.1253427585760518
bitflip,104,0.12795639038085938,0.8973866113102729
white,104,0.40272045135498047,0.8973866113102729
bitflip,108,0.0851888656616211,1.0781492719311931
white,108,0.4737358093261719,1.0781492719311931
bitflip,112,0.09889888763427734,1.1051165424076816
white,112,0.4762392044067383,1.1051165424076816
bitflip,116,0.1540536880493164,1.036592185783692
white,116,0.39823055267333984,1.036592185783692
bitflip,120,0.12520408630371094,1.0438043407260247
white,120,0.44134044647216797,1.0438043407260247
bitflip,124,0.0787038803100586,1.0521814020891376
white,124,0.4693870544433594,1.0521814020891376
bitflip,128,0.07181453704833984,1.0124922305840616
white,128,0.4578275680541992,1.0124922305840616
bitflip,132,0.06722068786621094,0.8613521615634001
white,132,0.41584110260009766,0.8613521615634001
bitflip,136,0.08701610565185547,1.151028247310607
white,136,0.4939260482788086,1.151028247310607
bitflip,140,0.08739185333251953,1.1187002002256097
white,140,0.48317909240722656,1.1187002002256097
bitflip,144,0.08800792694091797,1.018572460471526
white,144,0.44141101837158203,1.018572460471526
bitflip,148,0.08073234558105469,1.0064034496584557
white,148,0.4557075500488281,1.0064034496584557
bitflip,152,0.07672500610351562,1.0254207952152001
white,152,0.4616374969482422,1.0254207952152001
bitflip,156,0.11690807342529297,0.9877933607381908
white,156,0.4340238571166992,0.9877933607381908
bitflip,160,0.1738147735595703,1.0435709641603284
white,160,0.38286685943603516,1.0435709641603284
bitflip,164,0.1070413589477539,1.0664586947184345
white,164,0.46679019927978516,1.0664586947184345
bitflip,168,0.0850667953491211,1.1303516108678635
white,168,0.48206520080566406,1.1303516108678635
bitflip,172,0.09798908233642578,0.9035595399589775
white,172,0.41715431213378906,0.9035595399589775
bitflip,176,0.124114990234375,0.9672916486777787
white,176,0.4026021957397461,0.9672916486777787
bitflip,180,0.0858926773071289,0.9595396386183961
white,180,0.4506082534790039,0.9595396386183961
bitflip,184,0.09102249145507812,1.2545813365791862
white,184,0.5265321731567383,1.2545813365791862
bitflip,188,0.06933403015136719,0.9194047789013111
white,188,0.43196773529052734,0.9194047789013111
bitflip,192,0.07982540130615234,1.1409610352674115
white,192,0.47791576385498047,1.1409610352674115
bitflip,196,0.07884693145751953,1.0278900811860991
white,196,0.470458984375,1.0278900811860991
bitflip,200,0.1189422607421875,1.2298635217319527
white,200,0.5009660720825195,1.2298635217319527
bitflip,204,0.09778881072998047,0.9339356684142659
white,204,0.41216182708740234,0.9339356684142659
bitflip,208,0.09091663360595703,1.196929786562053
