p_noise,score,entropy,label,round
0.0,0.991825154276037,2.3003151999731237,1,4
0.5,-0.1509856242329255,2.8289214704676136,-1,4
0.25,0.4204197650215562,2.6184214851075134,1,4
0.375,0.13471707039431502,2.7348455024870204,1,4
0.4375,-0.008134276919304906,2.784542954157137,-1,4
0.40625,0.06329139673750528,2.7603721788000177,1,4
0.421875,0.02757855990910052,2.7726252236153504,1,4
0.4296875,0.009722141494896919,2.7786257923633415,1,4
0.43359375,0.0007939322877958954,2.781594773850604,1,4
0.435546875,-0.003670172315754394,2.7830714610570677,-1,4
0.4345703125,-0.0014381200139794714,2.7823337671010404,-1,4
0.43408203125,-0.000322093863091899,2.781964432935864,-1,4
0.433837890625,0.00023591921235266433,2.78177964401429,1,4
0.4339599609375,-4.308732536983939e-05,2.781872048629585,-1,4
0.43389892578125,9.641594349174554e-05,2.7818258488606586,1,4
0.433929443359375,2.6664309061175118e-05,2.781848949379791,1,4
0.4339447021484375,-8.211508154110092e-06,2.7818604991633533,-1,4
0.43393707275390625,9.22640045342149e-06,2.781854724311238,1,4
0.4339408874511719,5.074461493226323e-07,2.7818576117472116,1,4
0.4339427947998047,-3.8520310026157745e-06,2.781859055457762,-1,4
0.4339418411254883,-1.6722924260914596e-06,2.7818583336031066,-1,4
0.4339413642883301,-5.824231386064582e-07,2.781857972675315,-1,4
0.0,1.1884939495557956,2.0056131829286694,1,8
0.5,0.0007355053179729509,2.778973754682772,1,8
0.75,-0.5931437168009382,2.94365505121313,-1,8
0.625,-0.2962041057414825,2.8750056939442574,-1,8
0.5625,-0.1477343002117546,2.830511509621394,-1,8
0.53125,-0.07349939744689116,2.8056411999930013,-1,8
0.515625,-0.03638194606445877,2.7925347966529825,-1,8
0.5078125,-0.01782322037324291,2.7858114682164024,-1,8
0.50390625,-0.008543857527634868,2.7824069567640515,-1,8
0.501953125,-0.0039041761048308476,2.780693948066888,-1,8
0.5009765625,-0.0015843353934292814,2.7798347502200054,-1,8
0.50048828125,-0.00042441503772772116,2.779404477258064,-1,8
0.500244140625,0.00015554514012228182,2.7791891721840387,1,8
0.5003662109375,-0.00013443494880260864,2.7792968387729617,-1,8
0.50030517578125,1.0555095660169656e-05,2.779243008991665,1,8
0.500335693359375,-6.193992657155256e-05,2.7792699247605808,-1,8
0.5003204345703125,-2.5692415455358386e-05,2.7792564670956925,-1,8
0.5003128051757812,-7.568659898371521e-06,2.7792497380985717,-1,8
0.5003089904785156,1.4932178806770224e-06,2.779246373558841,1,8
0.5003108978271484,-3.037721008958272e-06,2.779248055832137,-1,8
0.500309944152832,-7.722515635855132e-07,2.7792472146963463,-1,8
0.5003094673156738,3.6048315865677694e-07,2.7792467941278076,1,8
0.0,1.0005743855449365,1.6210264915069443,1,12
0.5,-0.10508732407269705,2.6694323162705005,-1,12
0.25,0.44774353073611906,2.274306901539404,1,12
0.375,0.1713281033317109,2.4932254126262974,1,12
0.4375,0.0331203896295067,2.5862411208920104,1,12
0.46875,-0.03598346722159507,2.6290292387169254,-1,12
0.453125,-0.001431538796044185,2.6079371385207515,-1,12
0.4453125,0.015844425416731145,2.5971651479938735,1,12
0.44921875,0.007206443310343591,2.602570079414572,1,12
0.451171875,0.00288745225714937,2.605258334663231,1,12
0.4521484375,0.0007279567305529255,2.6065989169857344,1,12
0.45263671875,-0.00035179103274574075,2.6072683227237063,-1,12
0.452392578125,0.0001880828489035924,2.6069336936132976,1,12
0.4525146484375,-8.18540919211852e-05,2.607101026606149,-1,12
0.45245361328125,5.3114378491203595e-05,2.607017364719384,1,12
0.452484130859375,-1.4369856714990803e-05,2.607059196815151,-1,12
0.4524688720703125,1.937226088832844e-05,2.607038281055367,1,12
0.45247650146484375,2.501202086335752e-06,2.6070487390072836,1,12
0.4524803161621094,-5.934327314438548e-06,2.607053967929223,-1,12
0.45247840881347656,-1.716562613385264e-06,2.6070513534727553,-1,12
0.45247745513916016,3.92319736475244e-07,2.6070500462411443,1,12
0.45247793197631836,-6.621214383439877e-07,2.6070506998572314,-1,12
0.0,0.9911177780361722,0.8802263712528144,1,16
0.5,-0.1891661299205074,2.4481387879031153,-1,16
0.25,0.40097582405783183,1.8426334724771634,1,16
0.375,0.1059048470686621,2.173986652592137,1,16
0.4375,-0.04163064142592221,2.317715762087532,-1,16
0.40625,0.0321371028213695,2.24755728757873,1,16
0.421875,-0.004746769302276688,2.283056723043751,-1,16
0.4140625,0.013695166759546629,2.2654127793103083,1,16
0.41796875,0.0044741987286349705,2.2742611001974646,1,16
0.419921875,-0.00013628528682096963,2.278665487415278,-1,16
0.4189453125,0.0021689567209071114,2.2764649391721976,1,16
0.41943359375,0.0010163357170427378,2.2775656244570928,1,16
0.419677734375,0.00044002521511110615,2.2781156587048454,1,16
0.4197998046875,0.00015186996414495724,2.2783905987494597,1,16
0.41986083984375,7.792338662104825e-06,2.278528049504373,1,16
0.419891357421875,-6.424647407898831e-05,2.278596770065283,-1,16
0.4198760986328125,-2.8227067708330722e-05,2.278562410186197,-1,16
0.41986846923828125,-1.0217364523334993e-05,2.2785452299456286,-1,16
0.4198646545410156,-1.212512930282017e-06,2.2785366397500866,-1,16
0.4198627471923828,3.2899128661334487e-06,2.2785323446335015,1,16
0.4198637008666992,1.0386999678146935e-06,2.2785344921933612,1,16
0.4198641777038574,-8.690648156672864e-08,2.278535565972116,-1,16
0.0,1.0752853864847791,2.3623582425805383,1,20
0.5,-0.04882819653787096,2.8408797842101596,-1,20
0.25,0.5132285949734534,2.6480287731070726,1,20
0.375,0.23220019921779111,2.754367823695702,1,20
0.4375,0.0916860013399603,2.8000024487851505,1,20
0.46875,0.02142890240104456,2.8210271809519236,1,20
0.484375,-0.013699647068412979,2.831099126912054,-1,20
0.4765625,0.0038646276663161228,2.8260996654647994,1,20
0.48046875,-0.004917509701048761,2.8286085109946235,-1,20
0.478515625,-0.0005264410173664302,2.827356368532991,-1,20
0.4775390625,0.0016690933244747352,2.8267285872777963,1,20
0.47802734375,0.0005713261535542635,2.8270426204496046,1,20
0.478271484375,2.244256809347256e-05,2.8271995301241724,1,20
0.4783935546875,-0.00025199922463614577,2.8272779582364036,-1,20
0.47833251953125,-0.00011477832827089252,2.8272387464072932,-1,20
0.478302001953125,-4.616788008870998e-05,2.8272191388224908,-1,20
0.4782867431640625,-1.1862655997729732e-05,2.8272093346125224,-1,20
0.47827911376953125,5.289956048315503e-06,2.8272044324031453,1,20
0.4782829284667969,-3.286349974818137e-06,2.8272068835165327,-1,20
0.47828102111816406,1.001803036748683e-06,2.827205657962015,1,20
0.47828197479248047,-1.1422734693677938e-06,2.8272062707398167,-1,20
0.47828149795532227,-7.023521608751082e-08,2.8272059643510508,-1,20
0.0,1.1205066977390523,2.4233260268301637,1,24
0.5,-0.014568268415628305,2.8521483588162346,-1,24
0.25,0.552969214661712,2.6769009689650405,1,24
0.375,0.26920047312304196,2.773138124716571,1,24
0.4375,0.12731610235370705,2.814729732146167,1,24
0.46875,0.05637391696903893,2.833955322925754,1,24
0.484375,0.020902824276705312,2.8431804058115744,1,24
0.4921875,0.0031672779305385035,2.8476964702283247,1,24
0.49609375,-0.00570049524254479,2.849930430431689,-1,24
0.494140625,-0.001266608656002921,2.848815455039618,-1,24
0.4931640625,0.0009503346372670141,2.84825646390521,1,24
0.49365234375,-0.0001581370093679535,2.848536084778391,-1,24
0.493408203125,0.00039609881394997437,2.848396305669767,1,24
0.4935302734375,0.00011898090229123248,2.848466203055887,1,24
0.49359130859375,-1.9578053538360507e-05,2.8485011458750678,-1,24
