noise_type,round,max_noise,clean_score
white,4,0.44031620025634766,1.0398167225737818
bitflip,4,0.11492347717285156,1.0398167225737818
white,8,0.4713459014892578,1.0895178718368281
bitflip,8,0.08078479766845703,1.0895178718368281
white,12,0.4427604675292969,0.9662527374172247
bitflip,12,0.0834054946899414,0.9662527374172247
white,16,0.4537687301635742,1.0808538680470634
bitflip,16,0.11038684844970703,1.0808538680470634
white,20,0.48197460174560547,1.0883534303759361
bitflip,20,0.08864879608154297,1.0883534303759361
white,24,0.5175809860229492,1.2472537521632932
bitflip,24,0.09255790710449219,1.2472537521632932
white,28,0.46193695068359375,1.0631441573651303
bitflip,28,0.07932758331298828,1.0631441573651303
white,32,0.48889923095703125,1.1792894977257504
bitflip,32,0.08256721496582031,1.1792894977257504
white,36,0.4760103225708008,1.107859895821635
bitflip,36,0.0819387435913086,1.107859895821635
white,40,0.44122314453125,1.0080033665577313
bitflip,40,0.12046337127685547,1.0080033665577313
white,44,0.3467292785644531,0.7453035931836351
bitflip,44,0.11420631408691406,0.7453035931836351
white,48,0.47855567932128906,1.0936859151089928
bitflip,48,0.08894634246826172,1.0936859151089928
white,52,0.49050331115722656,1.1585986645008144
bitflip,52,0.09579849243164062,1.1585986645008144
white,56,0.38069725036621094,0.8026967149302928
bitflip,56,0.17326068878173828,0.8026967149302928
white,60,0.42916011810302734,1.137157233977152
bitflip,60,0.20562362670898438,1.137157233977152
white,64,0.4706993103027344,1.0748180801112814
bitflip,64,0.09261703491210938,1.0748180801112814
white,68,0.5318307876586914,1.3840776177996363
bitflip,68,0.09370899200439453,1.3840776177996363
white,72,0.40187740325927734,0.8281079951542489
bitflip,72,0.069976806640625,0.8281079951542489
white,76,0.49825382232666016,1.3671424318032346
bitflip,76,0.11050987243652344,1.3671424318032346
white,80,0.4892997741699219,1.1477945858799872
bitflip,80,0.08487606048583984,1.1477945858799872
white,84,0.5011930465698242,1.2540537037860735
bitflip,84,0.09080314636230469,1.2540537037860735
white,88,0.27136707305908203,0.4683190613323016
bitflip,88,0.035056114196777344,0.4683190613323016
white,92,0.5098123550415039,1.242907197762684
bitflip,92,0.08367919921875,1.242907197762684
white,96,0.4089536666870117,0.8673468085539842
bitflip,96,0.07934093475341797,0.8673468085539842
white,100,0.37401294708251953,0.7736285182059759
bitflip,100,0.1378326416015625,0.7736285182059759
white,104,0.3252105712890625,0.6288870955227472
bitflip,104,0.1083364486694336,0.6288870955227472
white,108,0.42204761505126953,0.9056872871356292
bitflip,108,0.08210563659667969,0.9056872871356292
white,112,0.43877696990966797,0.9933178299292091
bitflip,112,0.09412288665771484,0.9933178299292091
