p_noise,score,label,round
0.0,1.0398167225737818,1,4
0.5,-0.14094409262532315,-1,4
0.25,0.44943631497422865,1,4
0.375,0.15424611117445286,1,4
0.4375,0.006651009274565078,1,4
0.46875,-0.06714654167537915,-1,4
0.453125,-0.030247766200407256,-1,4
0.4453125,-0.011798378462920978,-1,4
0.44140625,-0.0025736845941783937,-1,4
0.439453125,0.0020386623401931203,1,4
0.4404296875,-0.0002675111269923036,-1,4
0.43994140625,0.0008855756066004083,1,4
0.440185546875,0.0003090322398038303,1,4
0.4403076171875,2.0760556405763353e-05,1,4
0.44036865234375,-0.00012337528529338115,-1,4
0.440338134765625,-5.130736444369788e-05,-1,4
0.4403228759765625,-1.5273404019078285e-05,-1,4
0.44031524658203125,2.743576194008668e-06,1,4
0.4403190612792969,-6.264913912978898e-06,-1,4
0.44031715393066406,-1.7606688593740927e-06,-1,4
0.44031620025634766,4.914536668731984e-07,1,4
0.44031667709350586,-6.346075964724918e-07,-1,4
0.0,1.0895178718368281,1,8
0.5,-0.0662318858610047,-1,8
0.25,0.5116429929879112,1,8
0.375,0.22270555356345434,1,8
0.4375,0.07823683385122471,1,8
0.46875,0.006002473995110336,1,8
0.484375,-0.03011470593294696,-1,8
0.4765625,-0.012056115968919201,-1,8
0.47265625,-0.003026820986905543,-1,8
0.470703125,0.0014878265041025074,1,8
0.4716796875,-0.0007694972413998524,-1,8
0.47119140625,0.00035916463135077237,1,8
0.471435546875,-0.00020516630502531719,-1,8
0.4713134765625,7.699916316350475e-05,1,8
0.47137451171875,-6.40835709317944e-05,-1,8
0.471343994140625,6.4577961158551744e-06,1,8
0.4713592529296875,-2.881288740885779e-05,-1,8
0.47135162353515625,-1.1177545646168241e-05,-1,8
0.4713478088378906,-2.359874764712444e-06,-1,8
0.4713459014892578,2.0489606764595436e-06,1,8
0.4713468551635742,-1.5545704501462865e-07,-1,8
0.471346378326416,9.467518153893906e-07,1,8
0.0,0.9662527374172247,1,12
0.5,-0.12491377099214418,-1,12
0.25,0.4206694832125406,1,12
0.375,0.1478778561101981,1,12
0.4375,0.011482042559027184,1,12
0.46875,-0.05671586421655861,-1,12
0.453125,-0.02261691082876549,-1,12
0.4453125,-0.005567434134869487,-1,12
0.44140625,0.0029573042120787374,1,12
0.443359375,-0.0013050649613952636,-1,12
0.4423828125,0.0008261196253418479,1,12
0.44287109375,-0.00023947266802681888,-1,12
0.442626953125,0.0002933234786575145,1,12
0.4427490234375,2.6925405315791906e-05,1,12
0.44281005859375,-0.00010627363135529144,-1,12
0.442779541015625,-3.967411302019386e-05,-1,12
0.4427642822265625,-6.374353852089953e-06,-1,12
0.44275665283203125,1.0275525731184842e-05,1,12
0.4427604675292969,1.9505859394364222e-06,1,12
0.4427623748779297,-2.211883956881877e-06,-1,12
0.4427614212036133,-1.3064900827863823e-07,-1,12
0.4427609443664551,9.099684656899143e-07,1,12
0.0,1.0808538680470634,1,16
0.5,-0.11011962097546513,-1,16
0.25,0.4853671235357997,1,16
0.375,0.18762375128016773,1,16
0.4375,0.03875206515235141,1,16
0.46875,-0.0356837779115573,-1,16
0.453125,0.0015341436203970549,1,16
0.4609375,-0.017074817145580345,-1,16
0.45703125,-0.007770336762591645,-1,16
0.455078125,-0.0031180965710975173,-1,16
0.4541015625,-0.000791976475349454,-1,16
0.45361328125,0.00037108357252302326,1,16
0.453857421875,-0.00021044645141343743,-1,16
0.4537353515625,8.031856055512598e-05,1,16
0.45379638671875,-6.506394542915572e-05,-1,16
0.453765869140625,7.627307563096153e-06,1,16
0.4537811279296875,-2.8718318932696718e-05,-1,16
0.45377349853515625,-1.0545505684467216e-05,-1,16
0.4537696838378906,-1.459099060907576e-06,-1,16
0.4537677764892578,3.0841042506501992e-06,1,16
0.4537687301635742,8.125025949823339e-07,1,16
0.4537692070007324,-3.2329823262955415e-07,-1,16
0.0,1.0883534303759361,1,20
0.5,-0.040702966958581,-1,20
0.25,0.5238252317086767,1,20
0.375,0.24156113237504884,1,20
0.4375,0.10042908270823392,1,20
0.46875,0.02986305787482668,1,20
0.484375,-0.005419954541877159,-1,20
0.4765625,0.012221551666474761,1,20
0.48046875,0.003400798562298357,1,20
0.482421875,-0.0010095779897891788,-1,20
0.4814453125,0.0011956102862544782,1,20
0.48193359375,9.30161482326497e-05,1,20
0.482177734375,-0.00045828092077782046,-1,20
0.4820556640625,-0.00018263238627302947,-1,20
0.48199462890625,-4.480811902007886e-05,-1,20
0.481964111328125,2.4104014606507462e-05,1,20
0.4819793701171875,-1.0352052207451834e-05,-1,20
0.48197174072265625,6.875981199749859e-06,1,20
0.4819755554199219,-1.7380355037399653e-06,-1,20
0.48197364807128906,2.5689728486710806e-06,1,20
0.48197460174560547,4.154686721324907e-07,1,20
0.48197507858276367,-6.612834155816927e-07,-1,20
0.0,1.2472537521632932,1,24
0.5,0.04236788053058915,1,24
0.75,-0.5600750552857624,-1,24
0.625,-0.2588535873775871,-1,24
0.5625,-0.10824285342349893,-1,24
0.53125,-0.03293748644645489,-1,24
0.515625,0.004715197042066466,1,24
0.5234375,-0.014111144702194656,-1,24
0.51953125,-0.004697973830064317,-1,24
0.517578125,8.611606000963334e-06,1,24
0.5185546875,-0.0023446811120308997,-1,24
0.51806640625,-0.0011680347530149682,-1,24
0.517822265625,-0.0005797115735060032,-1,24
0.5177001953125,-0.000285549983752853,-1,24
0.51763916015625,-0.00013846918887550075,-1,24
0.517608642578125,-6.492879143693564e-05,-1,24
0.5175933837890625,-2.8158592717986153e-05,-1,24
0.5175857543945312,-9.773493357734253e-06,-1,24
0.5175819396972656,-5.80943678274437e-07,-1,24
0.5175800323486328,4.0153311620105825e-06,1,24
0.5175809860229492,1.7171937420901173e-06,1,24
0.5175814628601074,5.681250316857955e-07,1,24
0.0,1.0631441573651303,1,28
0.5,-0.08760002036579739,-1,28
0.25,0.4877720684996665,1,28
0.375,0.20008602406693354,1,28
0.4375,0.0562430018505673,1,28
0.46875,-0.015678509257615048,-1,28
0.453125,0.02028224629647646,1,28
0.4609375,0.0023018685194302613,1,28
0.46484375,-0.006688320369093503,-1,28
0.462890625,-0.002193225924830955,-1,28
0.4619140625,5.432129730054136e-05,1,28
0.46240234375,-0.0010694523137655398,-1,28
0.462158203125,-0.0005075655082329433,-1,28
0.4620361328125,-0.00022662210546653405,-1,28
0.46197509765625,-8.615040408299635e-05,-1,28
0.461944580078125,-1.5914553392448738e-05,-1,28
0.4619293212890625,1.9203371954601423e-05,1,28
0.46193695068359375,1.6444092816314537e-06,1,28
0.4619407653808594,-7.135072055408642e-06,-1,28
0.46193885803222656,-2.745331387554728e-06,-1,28
0.46193790435791016,-5.504610522955034e-07,-1,28
0.46193742752075195,5.46974113113663e-07,1,28
0.0,1.1792894977257504,1,32
0.5,-0.026774460002123135,-1,32
0.25,0.5762575188618126,1,32
0.375,0.2747415294298454,1,32
0.4375,0.12398353471386003,1,32
0.46875,0.04860453735586878,1,32
0.484375,0.010915038676873046,1,32
0.4921875,-0.007929710662625045,-1,32
0.48828125,0.0014926640071231123,1,32
0.490234375,-0.0032185233277512992,-1,32
0.4892578125,-0.0008629296603135383,-1,32
0.48876953125,0.0003148671734043429,1,32
0.489013671875,-0.00027403124345459773,-1,32
0.4888916015625,2.0417964974539515e-05,1,32
0.48895263671875,-0.00012680663923991808,-1,32
0.488922119140625,-5.3194337131801106e-05,-1,32
0.4889068603515625,-1.6388186079074885e-05,-1,32
0.48889923095703125,2.01488944795436e-06,1,32
0.4889030456542969,-7.186648315116173e-06,-1,32
0.48890113830566406,-2.5858794332478396e-06,-1,32
0.48890018463134766,-2.854949920916283e-07,-1,32
0.48889970779418945,8.646972278203435e-07,1,32
0.0,1.107859895821635,1,36
0.5,-0.055832991425116774,-1,36
0.25,0.5260134521982593,1,36
0.375,0.23509023038657118,1,36
0.4375,0.0896286194807272,1,36
0.46875,0.016897814027805103,1,36
0.484375,-0.01946758869865617,-1,36
