p_noise,score,entropy,label
0.0,0.9199790839749189,1.620149112590116,1
0.5,-0.932068374866477,2.895196169200297,-1
0.25,-0.46905651015612804,2.821486665674657,-1
0.125,0.10970832073180814,2.5340675943541244,1
0.1875,-0.20861233625655662,2.719092084389957,-1
0.15625,-0.05668656814847273,2.6392741972999265,-1
0.140625,0.02470223619514278,2.590207315055393,1
0.1484375,-0.016444326000796705,2.615575424198443,-1
0.14453125,0.0040159150911402985,2.603105919249198,1
0.146484375,-0.0062424654563364435,2.6093935567795077,-1
0.1455078125,-0.0011203401829751325,2.6062630522143513,-1
0.14501953125,0.0014460212039884013,2.604687825994061,1
0.145263671875,0.000162398947983311,2.6054762727014347,1
0.1453857421875,-0.0004790810081269914,2.6058698706740357,-1
0.14532470703125,-0.00015836862772955485,2.6056731237646504,-1
0.145294189453125,2.00826071261595e-06,2.6055747112551346,1
0.1453094482421875,-7.818190836217376e-05,2.6056239207650567,-1
0.14530181884765625,-3.808725503851029e-05,2.6055993168239295,-1
0.14529800415039062,-1.8039604966713085e-05,2.6055870142429964,-1
0.1452960968017578,-8.015699077601468e-06,2.605580862799932,-1
0.1452951431274414,-3.0037259204362954e-06,2.60557778704025,-1
0.1452946662902832,-4.977342884515679e-07,2.6055762491508707,-1
