p_noise,score,entropy,label
0.0,0.876202227910388,2.234213217300843,1
0.5,-1.3237006591288998,3.921278727290063,-1
0.25,-0.7936613314160312,3.6876572371233776,-1
0.125,-0.23203487805455025,3.2762943699954037,-1
0.0625,0.22469223328630483,2.9049807350303367,1
0.09375,-0.02348791587658683,3.1111425509556367,-1
0.078125,0.09514961901339203,3.0140908522058534,1
0.0859375,0.03453385046470414,3.0639888937480872,1
0.08984375,0.005206634222739481,3.087894249762723,1
0.091796875,-0.009218755544508017,3.099598838071465,-1
0.0908203125,-0.002025709481202398,3.0937668601315274,-1
0.09033203125,0.0015855350673097401,3.0908356602733087,1
0.090576171875,-0.00022131714189410623,3.092302533230589,-1
0.0904541015625,0.0006818012428331244,3.0915694154206963,1
0.09051513671875,0.00023016515003226878,3.091936053941291,1
0.090545654296875,4.404782649736205e-06,3.0921193134834155,1
0.0905609130859375,-0.0001084609845156681,3.0922109283305677,-1
0.09055328369140625,-5.202930221392954e-05,3.0921651221504844,-1
0.09054946899414062,-2.3812560109304215e-05,3.0921422181278353,-1
0.09054756164550781,-9.703963812945915e-06,3.09213076588335,-1
0.0905466079711914,-2.6496093523675768e-06,3.0921250397028137,-1
0.0905461311340332,8.775819562156784e-07,3.0921221765979734,1
