p_noise,score,entropy,label
0.0,0.9552027079966918,2.316937891102118,1
0.5,-0.17643678795264583,3.5873268069752893,-1
0.25,0.38938296002202266,3.1118536152189096,1
0.375,0.1064730860346883,3.3740839905326103,1
0.4375,-0.034981850958978544,3.486339353087758,-1
0.40625,0.03574561753785499,3.4316643433353096,1
0.421875,0.00038188328943844496,3.4593586545556256,1
0.4296875,-0.017299983834770494,3.472937489123099,-1
0.42578125,-0.008459050272666024,3.4661702793794724,-1
0.423828125,-0.004038583491614123,3.4627700299144077,-1
0.4228515625,-0.001828350101088061,3.461065734372555,-1
0.42236328125,-0.0007232334058253631,3.460212542674719,-1
0.422119140625,-0.00017067505819379214,3.459785685689931,-1
0.4219970703125,0.00010560411562243743,3.4595721918942353,1
0.42205810546875,-3.253547128556633e-05,3.459678944234602,-1
0.422027587890625,3.653432216843555e-05,3.459625569425091,1
0.4220428466796875,1.999425440990521e-06,3.459652257170009,1
0.42205047607421875,-1.5268022921954838e-05,3.4596656007873454,-1
0.4220466613769531,-6.634298740593181e-06,3.459658928999937,-1
0.4220447540283203,-2.3174366492462184e-06,3.4596555930902877,-1
0.4220438003540039,-1.590056040168264e-07,3.4596539251314784,-1
0.4220433235168457,9.202099187088919e-07,3.459653091151076,1
