p_noise,score,entropy,label
0.0,0.9837640349662629,1.4271343984897402,1
0.5,-0.24511759564575875,3.3081111602211317,-1
0.25,0.36932321966025183,2.577052012570807,1
0.375,0.06210281200724688,2.9757180116376643,1
0.4375,-0.0915073918192566,3.1496026867384193,-1
0.40625,-0.014702289906003863,3.0646337571945046,-1
0.390625,0.02370026105062073,3.0206773412009125,1
0.3984375,0.004498985572308323,3.042779817321569,1
0.40234375,-0.005101652166848103,3.0537377248254627,-1
0.400390625,-0.0003013332972698901,3.048266521321316,-1
0.3994140625,0.0020988261375196604,3.0455251088937114,1
0.39990234375,0.000898746420124219,3.0468962997480165,1
0.400146484375,0.00029870656142705343,3.047581531663334,1
0.4002685546875,-1.3133679219734518e-06,3.047924056770565,-1
0.40020751953125,0.00014869659675320612,3.047752801787,1
0.400238037109375,7.369161441572736e-05,3.047838431171234,1
0.4002532958984375,3.618912324765411e-05,3.0478812444440035,1
0.40026092529296875,1.7437877662729306e-05,3.0479026507255607,1
0.4002647399902344,8.062254871044061e-06,3.047913353777632,1
0.4002666473388672,3.3744434748683716e-06,3.047918705281491,1
0.4002676010131836,1.0305377760033707e-06,3.047921381027875,1
0.4002680778503418,-1.4141507254095131e-07,3.047922718899682,-1
