noise_type,round,max_noise
white,4,0.4589872360229492
bitflip,4,0.120758056640625
white,8,0.49921512603759766
bitflip,8,0.09060192108154297
white,12,0.4438180923461914
bitflip,12,0.08705806732177734
white,16,0.4635887145996094
bitflip,16,0.10274505615234375
