p_noise,score,entropy,label
0.0,0.785481861239806,1.5954891452656685,1
0.5,-1.115923278262314,2.2395260470676344,-1
0.25,-0.5933808316136734,2.283123646714,-1
0.125,-0.036746833365523646,2.070237427454847,-1
0.0625,0.3379485122171204,1.8820119077742732,1
0.09375,0.14189854708021477,1.9846751789439616,1
0.109375,0.05045059103150207,2.029393802566342,1
0.1171875,0.006326850784097671,2.050280374670397,1
0.12109375,-0.015340462251989928,2.0603728860043615,-1
0.119140625,-0.004539521730632767,2.0553553924052244,-1
0.1181640625,0.0008854732455145786,2.0528251081076325,1
0.11865234375,-0.0018290705276089447,2.0540920521044925,-1
0.118408203125,-0.0004723104042159143,2.0534590311024883,-1
0.1182861328125,0.0002064534558683384,2.053142182421176,1
0.11834716796875,-0.00013296046237121217,2.053300634957475,-1
0.118316650390625,3.673849932450679e-05,2.0532214157392863,1
0.1183319091796875,-4.811298083184923e-05,2.053261027110739,-1
0.11832427978515625,-5.6877405865130015e-06,2.0532412218656173,-1
0.11832046508789062,1.552525441028685e-05,2.053231318912606,1
0.11832237243652344,4.9187256716543e-06,2.0532362704166514,1
0.11832332611083984,-3.845152678483288e-07,2.053238746148018,-1
0.11832284927368164,2.2671032493537524e-06,2.0532375082840546,1
