p_noise,score,entropy,label
0.0,0.8868213060449568,1.7828711490510594,1
0.5,-1.2570359547191132,3.5695747450816295,-1
0.25,-0.9157870934967574,3.299803199134465,-1
0.125,-0.44415075385565983,2.84156664929447,-1
0.0625,0.049048575814296225,2.4452353212541604,1
0.09375,-0.23008109883225059,2.663206385518328,-1
0.078125,-0.0997812763801269,2.5599334153896716,-1
0.0703125,-0.02783902586360809,2.5041350110475387,-1
0.06640625,0.009966057881612533,2.4750905887103447,1
0.068359375,-0.009093548952781916,2.4897118046471123,-1
0.0673828125,0.00039666433295848513,2.4824262328674864,1
0.06787109375,-0.0043582991764195,2.486075241649852,-1
0.067626953125,-0.0019832867103681817,2.484252297467299,-1
0.0675048828125,-0.000793929145850969,2.4833396557831713,-1
0.06744384765625,-0.00019878697516850785,2.4828830420499113,-1
0.067413330078125,9.890002678170084e-05,2.4826546618986858,1
0.0674285888671875,-4.995313597988549e-05,2.48276885808319,-1
0.06742095947265625,2.4471029799189026e-05,2.4827117615182983,1
0.06742477416992188,-1.2741656971515525e-05,2.482740310182566,-1
0.06742286682128906,5.864535440824881e-06,2.4827260359458894,1
0.06742382049560547,-3.4385985081542003e-06,2.4827331730880924,-1
0.06742334365844727,1.2129590305498539e-06,2.4827296045229574,1
